"k","initialization","lr","gamma","max.iter","verbose","E.in","E.out"
2,0.1,5e-04,0.01,10,FALSE,0.836354411166414,0.94033016608363
6,0.1,5e-04,0.01,10,FALSE,0.829690836111677,0.935425358257553
10,0.1,5e-04,0.01,10,FALSE,0.826714369485294,0.93346275613777
14,0.1,5e-04,0.01,10,FALSE,0.826085752964117,0.933375242664547
18,0.1,5e-04,0.01,10,FALSE,0.827008997962821,0.93453106400138
22,0.1,5e-04,0.01,10,FALSE,0.828991712895828,0.936540634497922
26,0.1,5e-04,0.01,10,FALSE,0.831717258352185,0.939153949647947
30,0.1,5e-04,0.01,10,FALSE,0.834974400783068,0.942204363804387
34,0.1,5e-04,0.01,10,FALSE,0.83861739761411,0.945576814274427
38,0.1,5e-04,0.01,10,FALSE,0.842542635680774,0.94918929991686
2,0.1,0.001,0.01,10,FALSE,0.833628521729145,0.938517010801719
6,0.1,0.001,0.01,10,FALSE,0.825630752406804,0.932881392233568
10,0.1,0.001,0.01,10,FALSE,0.822684916188816,0.93102635043169
14,0.1,0.001,0.01,10,FALSE,0.821965373632256,0.93082857481693
18,0.1,0.001,0.01,10,FALSE,0.82237429149404,0.931471232533565
22,0.1,0.001,0.01,10,FALSE,0.823415541794703,0.932589066700779
26,0.1,0.001,0.01,10,FALSE,0.824835183155133,0.93399624029077
30,0.1,0.001,0.01,10,FALSE,0.826489721491126,0.935587695537033
34,0.1,0.001,0.01,10,FALSE,0.828291799993854,0.937299080320551
38,0.1,0.001,0.01,10,FALSE,0.830185287129688,0.939088632401675
2,0.1,0.0015,0.01,10,FALSE,0.83098645531851,0.936872423178066
6,0.1,0.0015,0.01,10,FALSE,0.822655152607991,0.931174335760996
10,0.1,0.0015,0.01,10,FALSE,0.819987901540407,0.929521620683895
14,0.1,0.0015,0.01,10,FALSE,0.819231082711012,0.92922625190282
18,0.1,0.0015,0.01,10,FALSE,0.819320780605091,0.929537411201525
22,0.1,0.0015,0.01,10,FALSE,0.819847412570631,0.930168809087242
26,0.1,0.0015,0.01,10,FALSE,0.82061741028006,0.930984777833638
30,0.1,0.0015,0.01,10,FALSE,0.821526454697769,0.931911467895706
34,0.1,0.0015,0.01,10,FALSE,0.822513504908059,0.932905202793198
38,0.1,0.0015,0.01,10,FALSE,0.82354099351427,0.933938916433582
2,0.1,0.002,0.01,10,FALSE,0.828396136641626,0.935384456359158
6,0.1,0.002,0.01,10,FALSE,0.820282320008679,0.929941965790988
10,0.1,0.002,0.01,10,FALSE,0.817875358973566,0.928436183656708
14,0.1,0.002,0.01,10,FALSE,0.817093825051703,0.928058249330315
18,0.1,0.002,0.01,10,FALSE,0.816994401850136,0.928165159217036
22,0.1,0.002,0.01,10,FALSE,0.817233122575359,0.928521762138563
26,0.1,0.002,0.01,10,FALSE,0.817650152803135,0.929017555058651
30,0.1,0.002,0.01,10,FALSE,0.818160602444208,0.929593401096876
34,0.1,0.002,0.01,10,FALSE,0.818715900433677,0.930215548072234
38,0.1,0.002,0.01,10,FALSE,0.819287277180832,0.930864318699897
2,0.1,5e-04,0.02,10,FALSE,0.836354866578243,0.940330509499975
6,0.1,5e-04,0.02,10,FALSE,0.829691533867547,0.935425850641016
10,0.1,5e-04,0.02,10,FALSE,0.826714802014273,0.933462987189295
14,0.1,5e-04,0.02,10,FALSE,0.826085656731886,0.933374996352354
18,0.1,5e-04,0.02,10,FALSE,0.827008229298983,0.934530219384631
22,0.1,5e-04,0.02,10,FALSE,0.828990190017674,0.936539119751357
26,0.1,5e-04,0.02,10,FALSE,0.83171493337276,0.939151720020576
30,0.1,5e-04,0.02,10,FALSE,0.8349712456309,0.942201390605131
34,0.1,5e-04,0.02,10,FALSE,0.83861339658162,0.9455730790699
38,0.1,5e-04,0.02,10,FALSE,0.842537781235885,0.949184791270933
2,0.1,0.001,0.02,10,FALSE,0.83362977159068,0.938517913113198
6,0.1,0.001,0.02,10,FALSE,0.825632235384037,0.932882386899944
10,0.1,0.001,0.02,10,FALSE,0.822685737485488,0.931026758896071
14,0.1,0.001,0.02,10,FALSE,0.821965322931503,0.93082823163017
18,0.1,0.001,0.02,10,FALSE,0.822373313417004,0.931470086243125
22,0.1,0.001,0.02,10,FALSE,0.82341362288242,0.932587097064025
26,0.1,0.001,0.02,10,FALSE,0.824832324993734,0.933993439501834
30,0.1,0.001,0.02,10,FALSE,0.826485932985111,0.935584062922377
34,0.1,0.001,0.02,10,FALSE,0.828287094308303,0.937294620035208
38,0.1,0.001,0.02,10,FALSE,0.830179680048862,0.939083351985079
2,0.1,0.0015,0.02,10,FALSE,0.830988679174353,0.936873973442269
6,0.1,0.0015,0.02,10,FALSE,0.822657242846617,0.931175691130711
10,0.1,0.0015,0.02,10,FALSE,0.819989013387072,0.92952216604208
14,0.1,0.0015,0.02,10,FALSE,0.819231170963978,0.929225941405937
18,0.1,0.0015,0.02,10,FALSE,0.819319864331326,0.929536243042345
22,0.1,0.0015,0.02,10,FALSE,0.81984551733791,0.93016678936338
26,0.1,0.0015,0.02,10,FALSE,0.820614563702961,0.930981918151158
30,0.1,0.0015,0.02,10,FALSE,0.821522685280231,0.931907783715005
