"","k","initialization","lr","gamma","max.iter","verbose","Ein","Eout"
"1",2,0.1,5e-04,0.01,10,FALSE,0.839279073084058,0.942363020834754
"2",6,0.1,5e-04,0.01,10,FALSE,0.835767699709504,0.939504387306102
"3",10,0.1,5e-04,0.01,10,FALSE,0.834161814605606,0.938343717363226
"4",14,0.1,5e-04,0.01,10,FALSE,0.834472418068201,0.93888730719346
"5",18,0.1,5e-04,0.01,10,FALSE,0.836697375032124,0.941132202711976
"6",22,0.1,5e-04,0.01,10,FALSE,0.840821487803304,0.945066279245905
"7",26,0.1,5e-04,0.01,10,FALSE,0.84681700869513,0.950668565434683
"8",30,0.1,5e-04,0.01,10,FALSE,0.854644552886665,0.957909791439804
"9",34,0.1,5e-04,0.01,10,FALSE,0.864254343261599,0.966753128778673
"10",38,0.1,5e-04,0.01,10,FALSE,0.875587699333831,0.977155079735894
"11",2,0.1,0.001,0.01,10,FALSE,0.839279073051705,0.942363018113728
"12",6,0.1,0.001,0.01,10,FALSE,0.835767699932194,0.939504382705403
"13",10,0.1,0.001,0.01,10,FALSE,0.834161814908756,0.938343714833724
"14",14,0.1,0.001,0.01,10,FALSE,0.834472417555023,0.938887309688169
"15",18,0.1,0.001,0.01,10,FALSE,0.836697372097219,0.941132212157317
"16",22,0.1,0.001,0.01,10,FALSE,0.840821480162203,0.945066296531807
"17",26,0.1,0.001,0.01,10,FALSE,0.846816993428144,0.950668590423704
"18",30,0.1,0.001,0.01,10,FALSE,0.854644526494476,0.957909822994437
"19",34,0.1,0.001,0.01,10,FALSE,0.864254301729369,0.966753164805011
"20",38,0.1,0.001,0.01,10,FALSE,0.875587638200383,0.9771551172411
"21",2,0.1,0.0015,0.01,10,FALSE,0.839279073019365,0.94236301539202
"22",6,0.1,0.0015,0.01,10,FALSE,0.835767700154944,0.939504378106312
"23",10,0.1,0.0015,0.01,10,FALSE,0.834161815211687,0.938343712306537
"24",14,0.1,0.0015,0.01,10,FALSE,0.834472417042659,0.938887312179295
"25",18,0.1,0.0015,0.01,10,FALSE,0.83669736916942,0.941132221584732
"26",22,0.1,0.0015,0.01,10,FALSE,0.840821472545887,0.945066313778306
"27",26,0.1,0.0015,0.01,10,FALSE,0.846816978223131,0.95066861534909
"28",30,0.1,0.0015,0.01,10,FALSE,0.854644500230809,0.957909854465703
"29",34,0.1,0.0015,0.01,10,FALSE,0.864254260432894,0.966753200742647
"30",38,0.1,0.0015,0.01,10,FALSE,0.875587577463066,0.977155154678905
"31",2,0.1,0.002,0.01,10,FALSE,0.839279072987039,0.942363012669631
"32",6,0.1,0.002,0.01,10,FALSE,0.835767700377754,0.939504373508832
"33",10,0.1,0.002,0.01,10,FALSE,0.834161815514398,0.938343709781662
"34",14,0.1,0.002,0.01,10,FALSE,0.834472416531108,0.938887314666845
"35",18,0.1,0.002,0.01,10,FALSE,0.836697366248702,0.94113223099427
"36",22,0.1,0.002,0.01,10,FALSE,0.840821464954237,0.945066330985543
"37",26,0.1,0.002,0.01,10,FALSE,0.846816963079705,0.950668640211103
"38",30,0.1,0.002,0.01,10,FALSE,0.854644474094699,0.957909885853954
"39",34,0.1,0.002,0.01,10,FALSE,0.864254219370093,0.966753236591864
"40",38,0.1,0.002,0.01,10,FALSE,0.875587517117876,0.977155192049163
"41",2,0.1,5e-04,0.02,10,FALSE,0.839279073087216,0.942363021100178
"42",6,0.1,5e-04,0.02,10,FALSE,0.835767699673877,0.93950438804242
