"","k","initialization","lr","gamma","max.iter","verbose","E.in","E.out"
"1",2,0.1,5e-04,0.01,50,FALSE,0.825651089226496,0.933986785736966
"2",6,0.1,5e-04,0.01,50,FALSE,0.818090459355803,0.928961859161445
"3",10,0.1,5e-04,0.01,50,FALSE,0.815927029841944,0.927570121207681
"4",14,0.1,5e-04,0.01,50,FALSE,0.815171933256294,0.927151883832778
"5",18,0.1,5e-04,0.01,50,FALSE,0.814993911672988,0.927148596961167
"6",22,0.1,5e-04,0.01,50,FALSE,0.815090458879856,0.927354636013209
"7",26,0.1,5e-04,0.01,50,FALSE,0.815320300667991,0.927673439779849
"8",30,0.1,5e-04,0.01,50,FALSE,0.815608447653928,0.928054152667765
"9",34,0.1,5e-04,0.01,50,FALSE,0.815912713460151,0.928468815006443
"10",38,0.1,5e-04,0.01,50,FALSE,0.816209309854016,0.928902269260327
"11",2,0.1,0.001,0.01,50,FALSE,0.813656129184267,0.929884186265739
"12",6,0.1,0.001,0.01,50,FALSE,0.808746256454371,0.926242368226383
"13",10,0.1,0.001,0.01,50,FALSE,0.80742768837492,0.925030550725246
"14",14,0.1,0.001,0.01,50,FALSE,0.807015804609207,0.924493549936722
"15",18,0.1,0.001,0.01,50,FALSE,0.806916567009375,0.924244141699336
"16",22,0.1,0.001,0.01,50,FALSE,0.8068864499463,0.924123345415543
"17",26,0.1,0.001,0.01,50,FALSE,0.806802713300121,0.924051270561272
"18",30,0.1,0.001,0.01,50,FALSE,0.806604933288393,0.923989000539588
"19",34,0.1,0.001,0.01,50,FALSE,0.806274756898972,0.923924672491935
"20",38,0.1,0.001,0.01,50,FALSE,0.805827124401932,0.923867598217813
"21",2,0.1,0.0015,0.01,50,FALSE,0.79890806862071,0.929554370110256
"22",6,0.1,0.0015,0.01,50,FALSE,0.794779051333967,0.926298998800577
"23",10,0.1,0.0015,0.01,50,FALSE,0.794244080303831,0.924811863561059
"24",14,0.1,0.0015,0.01,50,FALSE,0.794712826767355,0.923940348851123
"25",18,0.1,0.0015,0.01,50,FALSE,0.795512793947985,0.923377000092923
"26",22,0.1,0.0015,0.01,50,FALSE,0.79627214893671,0.922960391305383
"27",26,0.1,0.0015,0.01,50,FALSE,0.796770231871835,0.922581691394286
"28",30,0.1,0.0015,0.01,50,FALSE,0.796874666672249,0.92219252561703
"29",34,0.1,0.0015,0.01,50,FALSE,0.79647708680796,0.92181986598822
"30",38,0.1,0.0015,0.01,50,FALSE,0.795584342556577,0.921540489246575
"31",2,0.1,0.002,0.01,50,FALSE,0.785857204055507,0.932403377223683
"32",6,0.1,0.002,0.01,50,FALSE,0.774512876429529,0.929347923743797
"33",10,0.1,0.002,0.01,50,FALSE,0.77097144041941,0.927569028589365
"34",14,0.1,0.002,0.01,50,FALSE,0.770053208264205,0.926477578961104
"35",18,0.1,0.002,0.01,50,FALSE,0.770349827035719,0.925915783371342
"36",22,0.1,0.002,0.01,50,FALSE,0.772187996476305,0.925660685482015
"37",26,0.1,0.002,0.01,50,FALSE,0.773521869452288,0.925084642009501
"38",30,0.1,0.002,0.01,50,FALSE,0.771556552426806,0.923448872137174
"39",34,0.1,0.002,0.01,50,FALSE,0.770767178126,0.921235180542323
"40",38,0.1,0.002,0.01,50,FALSE,0.772613832449303,0.92077665205446
"41",2,0.1,5e-04,0.02,50,FALSE,0.825655455929283,0.93398959943221
"42",6,0.1,5e-04,0.02,50,FALSE,0.818093539176815,0.928963763939181
"43",10,0.1,5e-04,0.02,50,FALSE,0.815928842947366,0.927571058873224
"44",14,0.1,5e-04,0.02,50,FALSE,0.815172617132716,0.927151910899789
"45",18,0.1,5e-04,0.02,50,FALSE,0.814993552471498,0.927147754827568
